iter	Passed	Remaining
0	310	217385
1	600	209678
2	909	211379
3	1252	217891
4	1607	223448
5	1992	230508
6	2310	228734
7	2636	228040
8	2943	225957
9	3234	223156
10	3570	223653
11	3862	221460
12	4169	220334
13	4480	219526
14	4764	217566
15	5066	216609
16	5358	215271
17	5657	214349
18	5939	212888
19	6219	211459
20	6555	211966
21	6854	211230
22	7137	210094
23	7456	210015
24	7756	209418
25	8028	208117
26	8332	207683
27	8631	207161
28	8934	206725
29	9234	206243
30	9567	206466
31	9906	206802
32	10188	205938
33	10512	205921
34	10782	204874
35	11089	204539
36	11453	205239
37	11782	205261
38	12110	205254
39	12557	207195
40	12901	207362
41	13225	207193
42	13574	207399
43	13902	207275
44	14273	207763
45	14695	208933
46	15028	208801
47	15318	208081
48	15636	207736
49	15924	207013
50	16203	206198
51	16517	205836
52	16810	205214
53	17116	204759
54	17412	204198
55	17695	203496
56	17958	202584
57	18225	201734
58	18511	201112
59	18772	200235
60	19050	199560
61	19360	199222
62	19689	199079
63	19976	198520
64	20266	197991
65	20593	197823
66	20882	197292
67	21158	196648
68	21451	196176
69	21742	195679
70	22019	195070
71	22304	194542
72	22596	194084
73	22871	193478
74	23128	192736
75	23428	192356
76	23722	191937
77	23999	191379
78	24258	190689
79	24535	190148
80	24790	189451
81	25039	188713
82	25301	188084
83	25596	187709
84	25872	187196
85	26144	186657
86	26428	186211
87	26742	185983
88	27022	185517
89	27311	185110
90	27628	184901
91	27923	184537
92	28251	184394
93	28582	184265
94	28855	183761
95	29120	183217
96	29404	182792
97	29688	182369
98	29968	181927
99	30224	181347
100	30519	181004
101	30815	180665
102	31103	180277
103	31378	179824
104	31705	179663
105	31987	179252
106	32284	178924
107	32597	178685
108	32896	178366
109	33175	177939
110	33463	177569
111	33781	177355
112	34051	176886
113	34329	176466
114	34636	176196
115	34921	175809
116	35188	175341
117	35479	174989
118	35785	174717
119	36066	174322
120	36351	173948
121	36650	173640
122	36954	173353
123	37233	172956
124	37531	172644
125	37834	172357
126	38105	171926
127	38383	171525
128	38696	171283
129	38975	170890
130	39254	170502
131	39540	170142
132	39830	169802
133	40114	169438
134	40397	169069
135	40733	168922
136	41018	168563
137	41330	168316
138	41661	168142
139	42003	168015
140	42395	168079
141	42779	168104
142	43100	167881
143	43395	167552
144	43723	167356
145	44087	167292
146	44429	167138
147	44765	166964
148	45058	166624
149	45347	166273
150	45645	165956
151	45929	165587
152	46212	165217
153	46487	164819
154	46796	164542
155	47081	164180
156	47358	163794
157	47655	163477
158	47950	163151
159	48224	162756
160	48528	162466
161	48882	162336
162	49231	162190
163	49557	161966
164	49868	161695
165	50164	161371
166	50472	161088
167	50824	160944
168	51160	160747
169	51480	160497
170	51818	160302
171	52142	160063
172	52455	159791
173	52780	159554
174	53083	159251
175	53393	158967
176	53738	158786
177	54040	158477
178	54335	158149
179	54667	157927
180	54997	157700
181	55300	157394
182	55646	157209
183	56014	157084
184	56327	156802
185	56652	156556
186	56983	156324
187	57317	156099
188	57640	155843
189	57968	155598
190	58272	155292
191	58600	155046
192	58944	154843
193	59273	154599
194	59625	154414
195	59971	154213
196	60294	153948
197	60665	153808
198	61038	153670
199	61359	153397
200	61761	153328
201	62131	153174
202	62494	153003
